id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
2gSl0czjvQksGoDx0llShU,0.699,0.895,-3.571,0.329,0.236,0.0,0.115,0.716,109.011,232253
3op2aHR2E4T3ytEhBpFvvK,0.626,0.845,-3.911,0.263,0.197,0.0,0.2,0.458,79.832,183867
01YGmszYuYM81hYrXNBZyT,0.716,0.674,-8.639,0.0502,0.161,5.18e-05,0.332,0.649,95.013,309227
5yT4S52Z1BcB5dL4E3cI1G,0.56,0.917,-3.839,0.399,0.0602,1.94e-05,0.466,0.758,91.901,223307
5XLC8xoqyua4U7wJiZAWik,0.903,0.519,-10.109,0.307,0.0286,0.000894,0.328,0.596,101.561,350560
119c93MHjrDLJTApCVGpvx,0.479,0.549,-10.551,0.373,0.57,0.0235,0.127,0.576,180.985,252187
7IwURvEfVcdxUCjLKUu6sv,0.889,0.466,-10.74,0.36,0.0854,7.37e-06,0.384,0.403,100.17,177067
24vNw0Z0srb4zYXwrakw8E,0.826,0.566,-10.747,0.311,0.199,0.0,0.356,0.655,99.131,216133
1Sgj10byiGzPpI2IrXSFEn,0.817,0.552,-10.8,0.385,0.0318,7.01e-06,0.826,0.808,102.011,291067
4xOTVtbCPcfxMs2hSt9D6i,0.925,0.388,-10.508,0.419,0.336,0.0,0.332,0.359,105.055,287840
56CShFBzzmlevmTIkXRCCr,0.684,0.787,-4.333,0.155,0.0548,0.0,0.57,0.779,107.003,205280
2ZLkHOVY7dqXIyhN4YQ4FH,0.479,0.671,-8.125,0.415,0.0505,0.0,0.458,0.278,89.238,224280
6gw0VbU7mFGCFnpKS0CbYU,0.639,0.93,-4.482,0.387,0.00412,0.0,0.196,0.791,90.087,227720
3aId0PAeq6ON0YPSb7G4Li,0.522,0.784,-7.113,0.376,0.0142,0.0,0.479,0.599,92.928,208280
06kNzShARVQ9o4eXAkQlhx,0.753,0.686,-5.288,0.267,0.0345,0.0,0.235,0.7,89.974,178280
